分类,题目,答案
游戏,领域不包含哪种,修罗领域
游戏,以下哪种仙魔法宝属于仙修,图
游戏,橙色突破丹药可以增加多少突破率,0.4
游戏,以下哪个仙友不属于界外仙友,姜子牙
游戏,下列哪个不是造化演武的阶段,会武
游戏,哪一天无法参与镇魔深渊挑战,周二/周四
游戏,雷劫珠可以对兽潮造成多少伤害,30亿
游戏,风行丹可以增加以下哪种属性,物理闪避
游戏,天机阁的修为福袋不会出现哪种类型的折扣,八折
游戏,仙友录仙友好感度的突破材料为,瑶池玉液
游戏,人界有一宝地名为野狼谷，修士再次历练最有机会获得,一阶妖丹
游戏,以下哪种效果无法被驱散,秘咒
游戏,使用什么道具可以一键完成仙友宴请,桃源镜
游戏,诸天绝技阵眼的升级可以提供,绝技倍率加成
游戏,上古至宝中无法获得以下哪种道具,机缘
游戏,造化演武的冠军称号是,造化三圣尊
游戏,天机阁进货将会消耗哪种道具,天机令
游戏,剑修在战斗中最多可以同时拥有几把飞剑,6
游戏,解锁随身小道童需要哪种道具,九玄仙玉
游戏,以下哪个神通没有附带净化效果,万剑诀·无涯
游戏,真元护盾/血盾可以承受多少比例的伤害,0.8
游戏,福灵宝库刷新时间,每月1日
游戏,乾坤大会是周几进行,周日
游戏,开启一次玄光宝盒需要消耗多少玄光玉简,30
游戏,炼器大会第三天解锁的榜单是,饰品
游戏,福灵宝库没有哪种商品,返场时装
游戏,哪种效果可以被净化,破神
游戏,古宝注灵需要消耗哪种材料,星辰
游戏,无法使用哪种道具购买琳琅宝阙的时装,九玄仙玉
游戏,以下哪个神通无需消耗飞剑就能打出,天罡剑法
游戏,古修商店中无法购买哪种道具,功法点
游戏,用于激活功法点大节点额外加成的道具是,功法要诀
游戏,宗门事务最多同时存储多少个,25
游戏,万妖宝境的基础挑战奖励是万妖果和什么,万妖魂
游戏,以下哪个道具可以用于行囊扩容,虚空石
游戏,以下哪个材料是锻造虚空石的所需材料,昆玉
游戏,极品灵脉的储量是多少,1000
游戏,每次开启镇魔深渊，可以在镇魔秘境中停留多长时间,10分钟
游戏,宗门乱斗活动单场最多几个宗门参与,无上限
游戏,装备以下哪个法宝能增加鬼使的攻击继承率,索
游戏,解锁《媚月宝典》功法需要以下哪种灵兽到中品,玉瞳狐
游戏,药园最多可以种植多少块地,36
游戏,镇妖塔一共有几层,1500
游戏,仙魔法宝煞镯可以消融目标多少比例的真元护盾,0.6
游戏,以下哪一项不是永久卡特权,增加挂机时长上限
游戏,悬赏令最多可以同时存储多少个,15个
游戏,仙灵金吒的绝技效果为,增加被动属性
游戏,领域的CD是多少,60秒
游戏,铸宝强化需要消耗哪种道具,铸宝陨铁
游戏,哪种道具无法催熟灵植,天罡木
游戏,神游三界的游历需要消耗哪种道具,神游引灵书
游戏,每日可以免费建设宗门几次,1次
游戏,保底获得星海瓶需要多少造化值,5000
游戏,龙灵丹是什么境界的丹药,元婴
游戏,万仙聊天频道是多少位面,96
游戏,镇魔深渊超过多少个仙友一同战斗可以获得加成,5
游戏,万妖宝境的周常开放时间是什么时间开始,周三
游戏,以下哪个神通只能攻击单个目标,四方鬼泣
游戏,拍卖行上架最低价格是多少天命,50
游戏,困魔境每日提供的收益类型为,星辰
游戏,以下哪个不是造化至宝,天妖令
游戏,以下哪个材料可以用于妖兽追踪的猎者商店进行道具兑换,妖魄币
游戏,召唤鬼使的法宝叫什么,古魂幡
游戏,以下哪个神通没有免疫效果,隐天剑式
游戏,每天最多可以获得几个悬赏令任务,3个
游戏,以下不属于奇遇广寒界活动领域是,琉璃界
游戏,以下哪个不是古宝注灵所需要的材料,优品星辰
游戏,以下哪个仙灵绝技可以驱散对手的增益,旱魃
游戏,以下哪个不是群攻神通,太一神光·土
游戏,炼器大会首日解锁的榜单是,武器
游戏,哪一天无法参加万妖宝境挑战,周一
游戏,每件上品铸宝共有多少种外观,3种
游戏,以下哪个仙灵绝技可以对自身附加必定会心,妲己
游戏,以下哪种符石不是本命附灵的特殊效果符石,巽风石
游戏,以下哪种法宝可以攻击3个目标,鼎
游戏,以下哪个神通只能攻击单个目标,万剑诀·双斩
游戏,以下哪个神通可以提供激荡效果,不灭金身
游戏,驭鬼方向秘术的施展名称叫什么,夺魄控魂
