分类,题目,答案
诗词,李白乘舟将欲行，下句,忽闻岸上踏歌声
诗词,两岸青山相对出，下句,孤帆一片日边来
诗词,两个黄鹂鸣翠柳，下句,一行白鹭上青天
诗词,两情若是久长时，下句,又岂在朝朝暮暮
诗词,临行密密缝，下句,意恐迟迟归
诗词,六朝文物草连空，下句,天淡云闲古今同
诗词,芦蒿满地芦芽短，下句,正是河豚欲上时
诗词,路人借问遥招手，下句,怕得鱼惊不应人
诗词,洛阳亲友如相见，下句,一片冰心在玉壶
诗词,落红不是无情物，下句,化作春泥更护花
诗词,明日隔山岳，下句,世事两茫茫
诗词,明月出天山，下句,苍茫云海间
诗词,明月何时照我还，上句,燕然未勒归无计
诗词,莫愁前路无知己，下句,天下谁人不识君
诗词,莫笑农家腊酒浑，下句,丰年留客足鸡豚
诗词,南朝四百八十寺，下句,多少楼台烟雨中
诗词,泥融飞燕子，下句,沙暖睡鸳鸯
诗词,鸟去鸟来山色里，下句,人歌人哭水声中
诗词,飘飘何所似，下句,天地一沙鸥
诗词,娉娉袅袅十三余，下句,豆蔻梢头二月初
诗词,葡萄美酒夜光杯，下句,欲饮琵琶马上催
诗词,千锤万凿出深山，下句,烈火焚烧若等闲
诗词,千呼万唤始出来，下句,犹抱琵琶半遮面
诗词,千里黄云白日曛，下句,北风吹雁雪纷纷
诗词,千里莺啼绿映红，下句,水村山郭酒旗风
诗词,千门万户瞳瞳日，下句,总把新桃换旧符
诗词,千磨万击还坚劲，下句,任尔东西南北风
诗词,千山鸟飞绝，下句,万径人踪灭
诗词,羌笛何须怨杨柳，下句,春风不度玉门关
诗词,秦时明月汉时关，下句,万里长征人未还
诗词,青山隐隐水迢迢，下句,秋尽江南草未凋
诗词,清明时节雨纷纷，下句,路上行人欲断魂
诗词,清时有味是无能，下句,闲爱孤云静爱僧
诗词,秋水共长天一色，上句,落霞与孤鹜齐飞
诗词,泉眼无声惜细流，下句,树阴照水爱晴柔
诗词,人生得意须尽欢，下句,莫使金樽空对月
诗词,日出江花红胜火，下句,春来江水绿如蓝
诗词,日暮东风怨啼鸟，下句,落花犹似坠楼人
诗词,日照香炉生紫烟，下句,遥看瀑布挂前川
诗词,如今直上银河去，下句,同到牵牛织女家
诗词,山重水复疑无路，下句,柳暗花明又一村
诗词,商女不知亡国恨，下句,隔江犹唱后庭花
诗词,谁家玉笛暗飞声，下句,散入春风满洛城
诗词,生当作人杰，下句,死亦为鬼雄
诗词,胜败兵家事不期，下句,包羞忍耻是男儿
诗词,十年一觉扬州梦，下句,赢得青楼薄幸名
诗词,事了拂衣去，下句,深藏功与名
诗词,水光潋滟晴方好，下句,山色空蒙雨亦奇
诗词,死去元知万事空，下句,但悲不见九州同
诗词,四海无闲田，下句,农夫犹饿死
诗词,松下问童子，下句,言师采药去
诗词,他年我若为青帝，下句,报与桃花一处开
诗词,桃花潭水深千尺，下句,不及汪伦送我情
诗词,天阶夜色凉如水，下句,卧看牵牛织女星
诗词,天生我材必有用，下句,千金散尽还复来
诗词,天下谁人不识君，上句,莫愁前路无知己
诗词,天子呼来不上船，下句,自称臣是酒中仙
诗词,停车坐爱枫林晚，下句,霜叶红于二月花
诗词,痛饮狂歌空度日，下句,飞扬跋扈为谁雄
诗词,万里悲秋常作客，下句,百年多病独登台
诗词,万紫千红总是春，上句,等闲识得东风面
诗词,王师北定中原日，下句,家祭无忘告乃翁
诗词,为伊消得人憔悴，上句,衣带渐宽终不悔
诗词,文章千古事，下句,得失寸心知
诗词,问渠那得清如许，下句,为有源头活水来
诗词,我寄愁心与明月，下句,随君直到夜郎西
诗词,我最横刀向天笑，下句,去留肝胆两昆仑
诗词,无边落木萧萧下，下句,不尽长江滚滚来
诗词,无可奈何花落去，下句,似曾相识燕归来
诗词,吾家洗砚池头树，下句,个个花开淡墨痕
诗词,西出阳关无故人的上句,劝君更尽一杯酒
诗词,西湖歌舞几时休，上句,山外青山楼外楼
诗词,西三山前白鹭飞，下句,桃花流水鳜鱼肥
诗词,溪柴火软蛮毡暖，下句,我与狸奴不出门
诗词,溪云初起日沉阁，下句,山雨欲来风满楼
诗词,细雨鱼儿出，下句,微风燕子斜
诗词,仙人抚我顶，下句,结发受长生
诗词,相见时难别亦难，下句,东风无力百花残
诗词,相看两不厌，下句,唯有敬亭山
诗词,向晚意不适，下句,驱车登古原
诗词,小荷才露尖尖角，下句,早有蜻蜓立上头
诗词,小楼一夜听春雨，下句,深巷明朝卖杏花
诗词,小时不识月，下句,呼作白玉盘
诗词,晓看红湿处，下句,花重锦官城
诗词,烟笼寒水月笼沙，下句,夜泊秦淮近酒家
诗词,杨花落尽子规啼，下句,闻道龙标过五溪
诗词,遥望洞庭山水翠，下句,白银盘里一青螺
诗词,遥知兄弟登高处，下句,遍插茱萸少一人
诗词,咬定青山不放松，下句,立根原在破岩中
诗词,野火烧不尽，下句,春风吹又生
诗词,夜阑卧听风吹雨，下句,铁马冰河入梦来
诗词,一骑红尘妃子笑，下句,无人知是荔枝来
诗词,一枝红杏出墙来，上句,春色满园关不住
